name1,img1,name2,img2,name3,img3,name4,img4,name5,img5,name6,img6,posneg,style,model
Thigh high boots,2bb9109b1db0ae4c88454619185444c3a204162d.jpg,Cashmere coat,37335ace9278ae133538975489f1f19beb9bdae6.jpg,Double breasted coat,f440c5cae3d2658d04ce4a44e35a503ef44a4780.jpg,Double breasted coat,442186e91f9a934e90916912dc6ef78c9e837e54.jpg,Duster coat,a18905fd344af578071afd7cc02bfbb44623ef72.jpg,Swing coat,8c6fe2c26a6d5cbbee7b3fc18b303f5d6ed17ad1.jpg,positive,winter,PLTM
Leopard coat,f440c5cae3d2658d04ce4a44e35a503ef44a4780.jpg,Marled cardigan,11fcb0b6098e0e147c985b980919783da2c1727d.jpg,Chevron top,b0c1d6b67f32759dd0c49f7079fdcda7f2105821.jpg,Leopard sweater,cc697f418ffadf6f96f2c5a67a73394cc5f04ca8.jpg,Floral print romper,0cc06786a5ddee4f25ebd2c013a7eb9bd9fbaf0f.jpg,Feather dress,dfdb55cf93975654750960e3ac101e1cc3204105.jpg,negative,winter,PLTM
Fitted coat,f5552f69cfccb1344dfc2c29daa4cb4af4e3d3fc.jpg,Trench coat,3d2d3c663baf5bad81e3d8955d8ed5475b3f3cd7.jpg,Beaded jacket,5f81c18c48d5653b7c6e91b90af8233999906ce4.jpg,Mid calf skirt,56d35a808fe590561f4a4508834fd5f620897fc1.jpg,Red coat,0536fb9b2925e3c5849a199efadfefc1e329da2d.jpg,Double breasted coat,0632feebf8e225359fcb348533da4ab4551ad936.jpg,positive,paris,PLTM
Double breasted coat,cd02a844afb619f2599affc0504e8de99f272d4c.jpg,Waterfall coat,da087f22dae63a421d9c6ffb29e276be6a16bc42.jpg,Red coat,879cb2956453f03539410bd0b346f4a6764aa5ec.jpg,Trench coat,1f17485317619bc16326b471cc625b1af9f64e22.jpg,Mid calf skirt,35007bb718cbf9ac585408ce2e42cf6b2c9373dc.jpg,Drape coat,cbd31a5d8ae1dc5b3b28c95f266557bc1646f4db.jpg,positive,paris,PLTM
Calf length skirts,0e04903beae0afac9382aece1aec058c5e77445d.jpg,Beaded jacket,cbf10b236c96acedce04a289888808af9bf5df17.jpg,Olive coat,c132656fd8b270d345f0b2c6d73010bf2a18ed41.jpg,Khaki coat,c70600d9d037ab0baa405d3861b8cc85967f0b6c.jpg,Trench coat,e0fc936e5a1f4cb3758bfb414f4a466258584f4c.jpg,Sheer skirt,a57ec8c1d113a59a369d341163d841c8305c4e09.jpg,positive,paris,PLTM
Graphic sweaters,8b31be5a95c3ab2ba8b06ca9b84f12e7052771a3.jpg,Marled cardigan,75c3e946a81d671dcaba373ec81df66fbe9b8ee0.jpg,Safari shirt,022708cbd1258750efe3b688b6c5e0e3f9615963.jpg,Flower print cardigan,53628491c754a3bb132df135e8a10773ba74e62a.jpg,Zebra shirt,48ddc919b6b97da1e7034071b00b3665cea5637c.jpg,Chevron top,0d1cade2a571a1bff87ea9c7c09490fa4375cea8.jpg,negative,paris,PLTM
Drawstring bag,4a24f9fecba5a1dce9311b3dba3ee148cae77d1b.jpg,Crossbody bags,a919491c40800ef09fefd7c38fc6f5d9544f83cd.jpg,Studded bag,6e29b0b93b225b10a106b9611b9b437700aa5e05.jpg,Pocket backpack,243e31ab8a3a2e4f0cee9e4cd8692fa2f766f29e.jpg,Strap backpack,f9ac3a549b3cba4d758f61f49f66e49568d1915b.jpg,Faux vest,afa978a498a3cd635a8929fafad7a8d1ce81b397.jpg,positive,New York,PLTM
Black backpack,eb2f1873998c337f7bf5c67dfb995fcec1757921.jpg,Zip bags,58ea018d0f6768ef725f246f6ee7155e775ce3b7.jpg,Crossbody bags,8dd5a4c52f0002fcbed78714e4dd7918866df852.jpg,Studded bag,0a8138e084013e540b792b40ea7c094bd73db1fd.jpg,Miniature backpack,f0a10d3df4f68287173f094198e6203e7b6f9109.jpg,Pocket bag,9727f172a33b6fc8e14733c763402c7adf9b8432.jpg,positive,New York,PLTM
Blue backpack,6af14abadfa04bc87d720197cff0e57910e258c9.jpg,Drawstring bag,7b3d86044bddda7b562455e1ca178100e5a000ff.jpg,Zip bags,44d5bbb52941d00f84906f3ebff7e88ab409c46a.jpg,Pink backpack,43b2d909a7723c8aa77801edf6b5a790c575f63b.jpg,Tiger shirt,2cc423a3c4c57d9afc7020f11a941d41b8ee0001.jpg,Print backpacks,861e91e2ec727f7d72b9a5ecdc91dd694ac29f00.jpg,positive,New York,PLTM
Leopard sweater,fe007667917267eda02cb00ed4e8d1934229ea6a.jpg,Aztec cardigan,99f0c1da7a8c6bea1bb3aebe2b9bfe85eab4dd12.jpg,Safari shirt,8d40b5fbe52748c191ca50a8ff32dd54f7436881.jpg,Chevron top,020f30cdba7f2464b32e00b7dba700c2acd1cfd8.jpg,Feather dress,2665d0b6b0a821e5683e2291f1c4245ac1f800f2.jpg,2 tone shoes,4fc09fe04ebbee195f87bd91c877298b9fc67f19.jpg,negative,New York,PLTM
Fit & flare dress,dae95ee8a835c6724ee5515e5f7432792143e72a.jpg,Shift dress,9e6bfc9bdfac1508b72012b6719930318306910f.jpg,Cocktail dresses,382ca0e1b3727f933c04ba244889f566895822dc.jpg,Lace dress,46800d66f93f9d8b188d28ff13df51585589cd58.jpg,Knee length dresses,ae50a31f8fade4843a460eff58d540d8d95ce6be.jpg,Embellished dresses,b9b878094f705b93e1472a3c7b2758842a437291.jpg,positive,prom,PLTM
High low dresses,e799881e07e0622807a6ed8be0eae6616b35f633.jpg,Knee length dresses,234b04bd4c6e9de8f70b5cf114129bf84a077fc2.jpg,Beige dress,46bbfa4697bd164461741b31c0e2c40ac8ce3209.jpg,White dress,3542c3ed384df677105611a700c26312018d7dc7.jpg,Yellow dress,98f6c0d04b428a2c1ca0226f3a7ab8ed1dce788b.jpg,Shift dress,ffc9f8dce5a8f1d26e6efcaaa219220b3e1c0e4d.jpg,positive,prom,PLTM
Beige dress,a2a8bb98aba3564b30c8124c7d36956c1d874500.jpg,Cocktail dresses,1a4b3b54e571fafc935e8d5c4fcc016518fae5ec.jpg,Embellished dresses,7007d6f19f87dd47d8b7fc4290c83d6f1dbb7ceb.jpg,Chiffon dress,fafe2d781bd37f96c8f817442559af45b6b8a7ff.jpg,One shoulder dress,ddc79868b52d37594c47ee82b37a5cf5b344a4c6.jpg,Short dresses,c81fbdd83f3fb79e82ff5373e84873a204cead65.jpg,positive,prom,PLTM
Leopard jacket,4b68d9027368b4ce3a8311c80cab88ae27b14c5a.jpg,Cartoon tees,f9dc593a3d88e9478d4333f1aefc5631b9c69cda.jpg,Floral print romper,586c2c11e865b11ff593c9f3e418bce4431448ec.jpg,Leopard coat,6b20401a7fab861282e4181addb145f24b6b7a04.jpg,2 tone shoes,b7ca0aaea6538c4dc2b1053db763bad869e09f43.jpg,Safari shirt,0dd56873be56116ea8da3ed902cc631a0abde59e.jpg,negative,prom,PLTM
Leather motorcycle jacket,b4518722d4d7c6e972e600d144b36123baff0864.jpg,Lock handbag,8a5a476178956e5d45dbf3ab866dbdc1446325d9.jpg,Fringe jacket,ad32e0660f4431ee3d2dc4cc787c50b7b4241898.jpg,See through lingerie,c509d1e78c4c21f7880bb3c367b02b584ccfc3e5.jpg,Khaki jacket,bb17524f21c7ebe777abd25ecac0eaf53ac22223.jpg,Silver jacket,045484e1b9719c2d91114a0961b9a7d9701a23d3.jpg,positive,party,PLTM
Leopard skirt,d12006cd478aa5bd2b447915dd7e2538fac67dc2.jpg,Colorful jackets,56202d5d64259652214be78875691afbc65d0a30.jpg,White lingerie,7ba5fd2138db5024c32435599dbd95420a596d51.jpg,Lock handbag,58f3f349866c0d2063f510d85faf6010d035ba5d.jpg,Tall jacket,f68b4fca34bd852974c6d04a4a126e2702046beb.jpg,Khaki jacket,390ec4e5e361c89eae5b97bf5a2ea2da5d90248d.jpg,positive,party,PLTM
Fur jacket,40f73a8a2c5d076c420eee5132b81c670483154b.jpg,Khaki jacket,f6a3d87ccf2cb92952f9e0bd723dc6cd1950191b.jpg,Tall jacket,94d36e7c9c93c97d3bdb18ea4f060699816ae33b.jpg,Print blazer,6f20a4f9ec4026474851227090724426d5f00129.jpg,Oversized jacket,06eeb61e2cdde120e7d27eebbc11058f7a3a2262.jpg,Western jacket,b65ab469cb09d138178e11447eac4287c27d6ff6.jpg,positive,party,PLTM
Graphic sweaters,0f5568f4533bf2f6261f2bae8a51809cff8da4c5.jpg,Floral print romper,16de948b353558558e248fdb7ef8570ae1642883.jpg,Zebra shirt,7d5c22dc8cea74b4ad891c6ad785a11fb23c046d.jpg,Aztec cardigan,e403b5afb37887ac145c8ee11f135e89835d40ac.jpg,2 tone shoes,9fc095ca6750e4e9bbfd9e68112366315e484393.jpg,Houndstooth jacket,c920194453da98746ac08254ef0418772e4c7768.jpg,negative,party,PLTM
Tankini swimsuit tops,006bb5a517847549f0e1f4125be4f9ec3afec422.jpg,Metal sunglasses,7b74db5f1ced5c514ccef1c5fa171063fca7db53.jpg,Brazilian bikini,143c9c6f2bcb49054f4e5e920f4ee076479125d2.jpg,Gold glasses,1053089de2631e66a569b8ee2d186ec542d102ce.jpg,Orange bikini,4ccab415e9d9c868e2ff5fdcca99c7273d727bdf.jpg,String bikini,c3eb37571e56a3cd1665fc291f0931dab096f293.jpg,positive,beach,PLTM
Bikini swimsuit,76d10718085cb1d2ed9b2033fadf2bfb59063794.jpg,Orange bikini,bae055d092df1813168419116e21515a59161e92.jpg,Swimsuits two piece,434738f662f2e0aa54b2659ea3a5231821b9d1f0.jpg,Neoprene bikini,24cc9b19ad82272a3948d4be754f69a9f1af6f82.jpg,Thong bikini,c9f3671df2654d4f81b42354d21f80e6120d27b5.jpg,Strappy bikini top,313e93882ce48193fdb905cdadd3ffb28cd61f10.jpg,positive,beach,PLTM
Push up swimsuit,24cc9b19ad82272a3948d4be754f69a9f1af6f82.jpg,Halter swimsuit,a63fe4a7d1e024d3ebe77852d304490cb8f69b25.jpg,Orange bikini,bae055d092df1813168419116e21515a59161e92.jpg,Swimsuits two piece,7571dc5679841a214f0e6ea579e9db3bbddc35d0.jpg,String bikini,2af5d99e8c3d915d7e6b50526c68ad1f6dcb64f8.jpg,Black bikini,581634364203c5806c18ef5548b42074fc0ed7e7.jpg,positive,beach,PLTM
Leopard sweater,93e0f9477bd81493a1a680172c1e3bc791695077.jpg,Leopard coat,f440c5cae3d2658d04ce4a44e35a503ef44a4780.jpg,Safari shirt,9ce562a1cbb1cf3369c546eabd2963a305a643d6.jpg,Marled cardigan,7b0c9b18729e5bce7a3c50d4675ee55fc51141f4.jpg,Feather top,f055118c66bd7177fb027abbdfa8354243dcbc1d.jpg,2 tone shoes,bddc26b9f0b0a3fd6b391391b34c171c68bad6b4.jpg,negative,beach,PLTM
Slouchy beanie,f6a37a51a605d26a9930b242b07d576947fb7f76.jpg,Camouflage pants,58dc4057ffb6a52988d78705284f18523ba664fa.jpg,Long beanie,b4e86e2a8b97bcfb5080f1838c95c0568a308873.jpg,Chunky knit hat,b2b7e90b1b2c84aa14ca47fa169b873355db5672.jpg,Ribbed beanie,9f9cca744055a3366b2a103b2dfd16b49699106e.jpg,Panel hats,1e856bb9ee0b89023054c62901ea33595fb0e275.jpg,positive,lazy,PLTM
Saggy beanie,44405edfa1a6fc721832138e4ac373f7c11a3f88.jpg,Slouchy beanie,a32e42a9999dedfdafb504efadecc21a72694494.jpg,Chunky knit hat,709e420ea78ada61a5affec1320482bddfc9ecf9.jpg,Ribbed beanie,9456aa4b8f56075a2987f0ca726fbf497ee26581.jpg,Cable knit hat,53409160658cac9e6892e4e1f20592dbdc1e6027.jpg,Shiny shirt,23c666dd81f8d86e70b2700267d612c3800a7a79.jpg,positive,lazy,PLTM
Ribbed beanie,64d18b7d055cee95bd345c9b377c81e765b65dea.jpg,Brimmed beanie,cde9011103b189bfe116504e82d7209e14e322d7.jpg,Embroidered hats,02197bb7acdd34b8f98392c1c5dbccb5877d25fa.jpg,Embroidered hats,d98975c958503cb723e4b153aa47015d6f529edd.jpg,Beanie hats,ea28b5b1d9a9da32d557cad0befb75e4f24214bd.jpg,Panel hats,df8b03d42c47927668128552e75ce1dd5b0898d3.jpg,positive,lazy,PLTM
Cartoon tees,4205fcd42fff42a1a1e8d3175ef44b90f7b42664.jpg,Chevron top,91e7174eecac9e969aea5858eb19c13cc0464b33.jpg,Flower blouse,88167ab5bbb0afd526c236bdcbbf13716b1064d5.jpg,Houndstooth jacket,db2d6946372d056cc908ecafef20eea582a92873.jpg,2 tone shoes,6a67af6024e3228340689e2360767c2dfa2ace7e.jpg,Feather dress,e24a6fbfa0e6efd4f3baae965bca8cc5a3274832.jpg,negative,lazy,PLTM
Gray shawl,e7727a5f3a90b75593b408014d6f96ece1bca683.jpg,Bright shawl,9b28478221bd5ed2fede7f49ef40983ce84cba0c.jpg,Paisley shawl,5b0f96a1400118de25726d8cd433676fc976d604.jpg,Triangular shawl,63eda94647de50abfcd8ffb909b4751ce79b361f.jpg,Chunky scarves,8b797f9c6be04f0b3b2a3a941d32fd5aae239a16.jpg,Colorful scarves,deacd70ed15022d3a2d205f0c6fed98625c3c338.jpg,positive,modern,PLTM
Triangular shawl,561677f51ad703a6a2b4b46f732788cdbd0119b0.jpg,Leopard print shawl,c000526f876e000940eaf3e60e32f58fa6b44285.jpg,Striped scarves,ffe3852faac7128d6b7488d77a99337be5a5ea64.jpg,Ivory shawl,e243369a4d8a88ff380667e9d8fe6174a28cddda.jpg,Tassel scarves,94c1dda702aa6e76bdaeca8464b5a8fd96598098.jpg,Colorful scarves,8ec440722b6f91476bcbc57f428ebe3ce0b25159.jpg,positive,modern,PLTM
Chunky scarves,808332c09eb752ee9c4b6bbded213951b1e1f79d.jpg,Tassel scarves,fba6b48abcc453a3e8e460e85d61598fa9eda508.jpg,Bright shawl,2188febedbefff28948ed8d6ba2e545abd6cf31e.jpg,Striped scarves,8aec1df45f7de6b7d88f86e09eb96928f9acbf8c.jpg,Loop scarves,349340a39484e8bf16c97ebb5357b9e54a4bec5b.jpg,Infinity scarves,6c4597c9ce9f97c413b5901cfa1f710747254820.jpg,positive,modern,PLTM
Leopard coat,588d93d832ec28db06b009bdb8542c634e9d565f.jpg,Cartoon tees,3566bd1043ddecffcadbeb020aff07ae5c03c9b4.jpg,Flower print cardigan,1c5eaf093a6155c2433c9d78699decba6d50347e.jpg,Feather top,8f0daf863a17f2a5003ea3cd5780d6b16b0ed08b.jpg,Floral tank,c15cfaab0a7d8288174352254156839dfb97775a.jpg,Marled cardigan,779b78dbaf1ea5c43f1804910e08cf70f9f772f2.jpg,negative,modern,PLTM
Front slit skirt,85a8e235e92196c54fa9eec155ce3b962c8c771e.jpg,Beige cardigan,59de8e3c0ae0a04ceece6b3cb5da730966138b3e.jpg,Chambray top,0dc193daee82bcdc7d7abf5f127764e513dc894e.jpg,Print romper,fc182d19fd7268579beee8b82a73c5097de20a5d.jpg,Fringe kimono,95680d239cb11de98f7c0267ea71f9f40b2f0a47.jpg,Maxi skirt,6aa5fff20cacc8d5c419e8b2522fcf29eb902976.jpg,positive,coachella,PLTM
